iter,solver,kind,import_s,viewer_s,init_s,step_s,render_s,total_s
1,cloth_hanging,cold,delta=,delta=,delta=,delta=,delta=,113.18
1,cloth_hanging,warm,delta=,delta=,delta=,delta=,delta=,5.10
1,robot_anymal_d,cold,delta=,delta=,delta=,delta=,delta=,215.20
1,robot_anymal_d,warm,delta=,delta=,delta=,delta=,delta=,47.94
1,kamino_robot_dr_legs,cold,delta=,delta=,delta=,delta=,delta=,153.15
1,kamino_robot_dr_legs,warm,delta=,delta=,delta=,delta=,delta=,8.14
2,kamino_robot_dr_legs,cold,delta=,delta=,delta=,delta=,delta=,151.17
2,kamino_robot_dr_legs,warm,delta=,delta=,delta=,delta=,delta=,7.88
2,robot_anymal_d,cold,delta=,delta=,delta=,delta=,delta=,216.11
2,robot_anymal_d,warm,delta=,delta=,delta=,delta=,delta=,7.98
2,cloth_hanging,cold,delta=,delta=,delta=,delta=,delta=,124.60
2,cloth_hanging,warm,delta=,delta=,delta=,delta=,delta=,5.47
3,cloth_hanging,cold,delta=,delta=,delta=,delta=,delta=,121.47
3,cloth_hanging,warm,delta=,delta=,delta=,delta=,delta=,40.50
3,kamino_robot_dr_legs,cold,delta=,delta=,delta=,delta=,delta=,151.70
3,kamino_robot_dr_legs,warm,delta=,delta=,delta=,delta=,delta=,7.80
3,robot_anymal_d,cold,delta=,delta=,delta=,delta=,delta=,220.01
3,robot_anymal_d,warm,delta=,delta=,delta=,delta=,delta=,7.71
